Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1M
92, T. Dennis,     90.15,    +2,    92.15,    94.98,    +4,    98.98,    92.15
93, T. Smith,     94.36,    +2,    96.36,   103.46,    +8,   111.46,    96.36
94, R. Powell,    107.19,    +2,   109.19,   100.38,    +2,   102.38,   102.38
96, R. Healy, DNS,      ,DNS,DNS,      ,DNS,DNS
98, M. McCurry, DNS,      ,DNS,DNS,      ,DNS,DNS

C1W
91, S. Donnelly,    122.41,    +6,   128.41,   134.99,   +56,   190.99,   128.41

K1M
93, T. Smith,     90.99,    +0,    90.99,    97.53,    +2,    99.53,    90.99
94, R. Powell,     89.34,    +2,    91.34,    94.29,    +0,    94.29,    91.34
89, J. Sherman,    106.00,    +2,   108.00,    92.43,    +0,    92.43,    92.43
92, T. Dennis,     97.45,    +2,    99.45,    94.14,    +8,   102.14,    99.45
88, W. Bolyard,    104.20,    +0,   104.20,   106.05,    +6,   112.05,   104.20
81, T. Mardany,    104.68,    +2,   106.68,   111.12,    +4,   115.12,   106.68
79, T. Westfall,    104.83,    +2,   106.83,    99.65,   +52,   151.65,   106.83
86, J. Joseph,    110.83,    +2,   112.83,   115.01,    +4,   119.01,   112.83
98, M. McCurry,    115.57,   +10,   125.57,   113.80,    +4,   117.80,   117.80
84, R. Nelson,    116.54,    +2,   118.54,   122.58,    +6,   128.58,   118.54
108, N. Bodin,    130.26,    +6,   136.26,   126.46,    +4,   130.46,   130.46
109, C. Payne,    126.30,    +6,   132.30,   134.81,  +152,   286.81,   132.30
83, M. Kaderabek,    129.62,    +8,   137.62,DNS,      ,DNS,   137.62
106, R. Healy,    133.96,    +6,   139.96,   135.46,   +54,   189.46,   139.96
107, M. Haworth,    128.85,  +104,   232.85,   132.00,    +8,   140.00,   140.00
110, J. Yochim,    145.51,   +12,   157.51,   142.04,    +8,   150.04,   150.04
80, M. Loving,    142.05,   +12,   154.05,   132.42,  +110,   242.42,   154.05
82, K. Hank,    154.20,    +2,   156.20,   154.00,  +108,   262.00,   156.20
85, R. Sribar,    155.30,   +18,   173.30,   129.21,   +56,   185.21,   173.30
87, H. Bergmann, DNS,      ,DNS,DNS,      ,DNS,DNS
62, S. Swanson, ,,,,,,         
