Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1M
79, C. Eichfeld,     96.03,    +0,    96.03,,,,    96.03*
72, T. Smith,    101.06,    +0,   101.06,,,,   101.06*
75, T. Dennis,    100.76,    +2,   102.76,,,,   102.76*
9, S. Davis,    104.14,    +0,   104.14,,,,   104.14
78, Z. Lokken,     98.28,    +6,   104.28,,,,   104.28*
71, T. Long,    101.80,    +4,   105.80,,,,   105.80*
43, N. Lomas,    106.15,    +0,   106.15,,,,   106.15*
53, R. Powell,    104.61,    +2,   106.61,,,,   106.61*
54, D. McEwan,    105.17,    +8,   113.17,,,,   113.17*
36, M. Fritz,    122.70,    +0,   122.70,,,,   122.70*
86, W. Hearn,    130.83,    +2,   132.83,,,,   132.83*
42, R. Healy,    133.57,    +4,   137.57,,,,   137.57*
18, M. Haworth,    151.34,    +2,   153.34,,,,   153.34*
85, G. C1M, DNS,      ,DNS,,,,DNS

C1W
105, C. Hickey,    124.35,    +4,   128.35,,,,   128.35*
102, T. Hines,    134.42,    +6,   140.42,,,,   140.42*
106, W. Ghost C1W, DNS,      ,DNS,,,,DNS*
93, E. Leibfarth,    143.76,    +2,   145.76,,,,   145.76*
99, H. Rollins,    186.97,   +56,   242.97,,,,   242.97*
88, B. Phillips,    157.80,  +102,   259.80,,,,   259.80*

C2
113, D. C McEwan Eichfeld,    103.88,    +0,   103.88,,,,   103.88
110, T. T Smith Dennis,    111.98,   +12,   123.98,,,,   123.98
108, W. M Bolyard Kaderabek,    142.89,   +10,   152.89,,,,   152.89
114, C. Ghost C2, DNS,      ,DNS,,,,DNS

K1M
196, M. Smolen,     86.48,    +0,    86.48,,,,    86.48
198, R. Powell,     89.07,    +0,    89.07,,,,    89.07
193, S. Mann,     94.46,    +0,    94.46,,,,    94.46
188, T. Westfall,     98.79,    +0,    98.79,,,,    98.79
194, T. Smith,     96.97,    +4,   100.97,,,,   100.97
189, H. Bergen,    104.21,    +2,   106.21,,,,   106.21
187, S. Smith,    106.66,    +0,   106.66,,,,   106.66
186, M. Mccurry,    107.26,    +0,   107.26,,,,   107.26
178, J. Joseph,    109.24,    +2,   111.24,,,,   111.24
180, M. Kaderabek,    112.59,    +0,   112.59,,,,   112.59
184, T. Mardany,    113.30,    +2,   115.30,,,,   115.30
173, C. Wells,    112.05,    +4,   116.05,,,,   116.05
149, W. Bolyard,    113.22,    +4,   117.22,,,,   117.22
160, M. Haworth,    116.18,    +2,   118.18,,,,   118.18
167, C. Payne,    118.52,    +4,   122.52,,,,   122.52
174, R. Healy,    126.50,    +4,   130.50,,,,   130.50
164, K. Frieden,    131.83,    +2,   133.83,,,,   133.83
183, M. Loving,    140.66,    +0,   140.66,,,,   140.66
153, J. Yochim,    145.56,    +4,   149.56,,,,   149.56
172, K. Hank,    142.04,    +8,   150.04,,,,   150.04
147, N. Bodin,    148.14,    +2,   150.14,,,,   150.14
158, N. Francis,    149.18,    +4,   153.18,,,,   153.18
157, D. Chasse,    122.63,   +50,   172.63,,,,   172.63
166, R. Nelson,    142.48,   +56,   198.48,,,,   198.48
142, M. Long,    186.13,  +250,   436.13,,,,   436.13
2, M. Montagne, DNF,      ,DNF,,,,DNF

K1W
139, A. Nee,    101.03,    +2,   103.03,,,,   103.03
140, D. Mann,    104.17,    +0,   104.17,,,,   104.17
136, A. Ifarraguerri,    108.76,    +4,   112.76,,,,   112.76
134, A. Davis,    117.56,    +0,   117.56,,,,   117.56
133, M. Humeau,    120.08,    +2,   122.08,,,,   122.08
135, E. Leibfarth,    119.42,    +4,   123.42,,,,   123.42
129, L. Mojsiak,    127.10,    +0,   127.10,,,,   127.10
126, S. Jacobi,    130.56,    +2,   132.56,,,,   132.56
115, L. Brandon,    137.70,    +6,   143.70,,,,   143.70
125, C. Hickey,    140.30,    +4,   144.30,,,,   144.30
168, B. Phillips,    144.53,    +6,   150.53,,,,   150.53
128, E. Morgan Joseph,    128.04,   +52,   180.04,,,,   180.04
124, M. Corcoran,    113.99,  +100,   213.99,,,,   213.99
118, M. Corcoran,    151.85,  +108,   259.85,,,,   259.85
132, A. Szymanski,    187.52,  +112,   299.52,,,,   299.52
13, J. Jacobsen Kastorf, DNS,      ,DNS,,,,DNS
141, K. Ghost K1W, DNS,      ,DNS,,,,DNS

X1X
15, F. Ghost Forerunner, DNS,      ,DNS,,,,DNS
