Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1M
79, C. Eichfeld,     96.23,    +0,    96.23,    90.94,    +0,    90.94,    90.94
78, Z. Lokken,     98.04,    +6,   104.04,    96.49,    +0,    96.49,    96.49
72, T. Smith,     99.37,    +0,    99.37,   101.63,    +4,   105.63,    99.37
75, T. Dennis,    100.67,    +2,   102.67,   100.04,    +0,   100.04,   100.04
53, R. Powell,    104.98,    +2,   106.98,   102.34,    +0,   102.34,   102.34
9, S. Davis,    104.14,    +0,   104.14,DNS,      ,DNS,   104.14
71, T. Long,    100.19,    +4,   104.19,   103.18,    +2,   105.18,   104.19
54, D. McEwan,    104.64,    +8,   112.64,   105.85,    +0,   105.85,   105.85
43, N. Lomas,    106.04,    +0,   106.04,   108.71,    +4,   112.71,   106.04
36, M. Fritz,    122.60,    +0,   122.60,   132.83,    +0,   132.83,   122.60
86, W. Hearn,    130.82,    +2,   132.82,   124.24,    +2,   126.24,   126.24
42, R. Healy,    133.36,    +4,   137.36,   135.98,   +52,   187.98,   137.36
18, M. Haworth,    151.62,    +2,   153.62,   147.34,    +4,   151.34,   151.34*
85, G. C1M, DNS,      ,DNS,DNS,      ,DNS,DNS

C1W
105, C. Hickey,    124.57,    +4,   128.57,   126.50,    +4,   130.50,   128.57
93, E. Leibfarth,    143.32,    +2,   145.32,DNS,      ,DNS,   145.32
102, T. Hines,    163.51,    +6,   169.51,   151.51,  +104,   255.51,   169.51
88, B. Phillips,    157.52,  +102,   259.52,   178.07,   +10,   188.07,   188.07
99, H. Rollins,    187.20,   +56,   243.20,   217.74,  +112,   329.74,   243.20

C2
113, D. C McEwan Eichfeld,    103.88,    +0,   103.88,   102.89,    +0,   102.89,   102.89
110, T. T Smith Dennis,    111.98,   +12,   123.98,   108.27,    +4,   112.27,   112.27
108, W. M Bolyard Kaderabek,    142.89,   +10,   152.89,DNS,      ,DNS,   152.89

C1W
106, W. Ghost C1W, DNS,      ,DNS,DNS,      ,DNS,DNS

C2
114, C. Ghost C2, DNS,      ,DNS,DNS,      ,DNS,DNS

K1M
196, M. Smolen,     86.48,    +0,    86.48,    84.50,    +0,    84.50,    84.50
198, R. Powell,     89.07,    +0,    89.07,    88.32,    +0,    88.32,    88.32
193, S. Mann,     94.46,    +0,    94.46,    90.72,    +4,    94.72,    94.46
194, T. Smith,     96.97,    +4,   100.97,    96.42,    +0,    96.42,    96.42
188, T. Westfall,     98.79,    +0,    98.79,DNF,      ,DNF,    98.79
189, H. Bergen,    104.21,    +2,   106.21,   100.68,    +0,   100.68,   100.68
186, M. Mccurry,    107.26,    +0,   107.26,   105.74,    +0,   105.74,   105.74
187, S. Smith,    106.66,    +0,   106.66,DNF,      ,DNF,   106.66
178, J. Joseph,    109.24,    +2,   111.24,   107.59,    +0,   107.59,   107.59
149, W. Bolyard, ,,,   108.49,    +2,   110.49,   110.49
184, T. Mardany,    113.30,    +2,   115.30,   111.36,    +0,   111.36,   111.36
180, M. Kaderabek,    112.59,    +0,   112.59,   113.44,    +0,   113.44,   112.59
173, C. Wells,    112.05,    +4,   116.05,   112.42,    +2,   114.42,   114.42
174, R. Healy,    126.50,    +4,   130.50,   112.59,    +2,   114.59,   114.59
160, M. Haworth,    116.18,    +2,   118.18,   119.34,    +0,   119.34,   118.18
167, C. Payne,    118.52,    +4,   122.52,   117.08,    +2,   119.08,   119.08
147, N. Bodin, ,,,   118.73,    +2,   120.73,   120.73
164, K. Frieden,    131.83,    +2,   133.83,   125.35,    +0,   125.35,   125.35
153, J. Yochim,    145.56,    +4,   149.56,   133.69,    +4,   137.69,   137.69
183, M. Loving,    140.66,    +0,   140.66,   140.17,    +6,   146.17,   140.66
158, N. Francis,    149.18,    +4,   153.18,   137.51,    +6,   143.51,   143.51
172, K. Hank,    142.04,    +8,   150.04,   151.05,   +62,   213.05,   150.04
157, D. Chasse,    122.63,   +50,   172.63,   127.43,   +54,   181.43,   172.63
166, R. Nelson,    142.48,   +56,   198.48,DNS,      ,DNS,   198.48
142, M. Long,    186.13,  +250,   436.13,   180.17,  +102,   282.17,   282.17
2, M. Montagne, DNF,      ,DNF,DNS,      ,DNS,DNS
