Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1M
79, C. Eichfeld,     93.03,    +0,    93.03,,,,    93.03*
78, Z. Lokken,     94.14,    +0,    94.14,,,,    94.14*
75, T. Dennis,     97.64,    +0,    97.64,,,,    97.64*
72, T. Smith,    102.02,    +0,   102.02,,,,   102.02*
53, R. Powell,    102.20,    +0,   102.20,,,,   102.20*
71, T. Long,    101.89,    +2,   103.89,,,,   103.89*
43, N. Lomas,    103.92,    +2,   105.92,,,,   105.92*
54, D. McEwan,    105.45,    +2,   107.45,,,,   107.45*
36, M. Fritz,    125.36,   +10,   135.36,,,,   135.36*
86, W. Hearn,    125.02,   +12,   137.02,,,,   137.02*
42, R. Healy,    147.52,  +102,   249.52,,,,   249.52*
18, M. Haworth,    142.79,  +110,   252.79,,,,   252.79*

C1W
105, C. Hickey,    117.61,    +4,   121.61,,,,   121.61
102, T. Hines,    160.49,    +4,   164.49,,,,   164.49
93, E. Leibfarth,    140.62,   +52,   192.62,,,,   192.62
88, B. Phillips,    203.38,  +108,   311.38,,,,   311.38
99, H. Rollins,    159.52,  +204,   363.52,,,,   363.52

C2
110, T. T Smith Dennis,    107.12,    +0,   107.12,,,,   107.12*
113, D. C McEwan Eichfeld,    104.23,    +6,   110.23,,,,   110.23*
108, W. M Bolyard Kaderabek,    153.84,   +62,   215.84,,,,   215.84*

C1M
85, G. C1M, DNS,      ,DNS,,,,DNS
9, S. Davis, DNS,      ,DNS,,,,DNS

C1W
106, W. Ghost C1W, DNS,      ,DNS,,,,DNS

C2
114, C. Ghost C2, DNS,      ,DNS,,,,DNS

K1M
2, M. Montagne, DNS,      ,DNS,,,,DNS*
196, M. Smolen,     84.98,    +0,    84.98,,,,    84.98
198, R. Powell,     91.26,    +0,    91.26,,,,    91.26
193, S. Mann,     95.48,    +0,    95.48,,,,    95.48
194, T. Smith,     96.89,    +2,    98.89,,,,    98.89
188, T. Westfall,     99.28,    +4,   103.28,,,,   103.28*
189, H. Bergen,    103.50,    +0,   103.50,,,,   103.50*
187, S. Smith,    102.22,    +2,   104.22,,,,   104.22*
184, T. Mardany,    113.76,    +6,   119.76,,,,   119.76*
186, M. Mccurry,    113.88,    +8,   121.88,,,,   121.88*
173, C. Wells,    112.94,   +12,   124.94,,,,   124.94*
180, M. Kaderabek,    119.06,    +6,   125.06,,,,   125.06*
166, R. Nelson,    123.82,   +14,   137.82,,,,   137.82*
157, D. Chasse,    141.71,    +4,   145.71,,,,   145.71*
158, N. Francis,    145.86,    +8,   153.86,,,,   153.86*
160, M. Haworth,    109.62,   +56,   165.62,,,,   165.62*
149, W. Bolyard,    109.72,   +58,   167.72,,,,   167.72*
147, N. Bodin,    123.68,   +54,   177.68,,,,   177.68*
167, C. Payne,    139.56,   +62,   201.56,,,,   201.56*
183, M. Loving,    155.52,  +110,   265.52,,,,   265.52*
153, J. Yochim,    134.04,  +212,   346.04,,,,   346.04*
172, K. Hank,    171.43,  +254,   425.43,,,,   425.43*
142, M. Long,    114.89,  +506,   620.89,,,,   620.89*
164, K. Frieden, DNF,      ,DNF,,,,DNF*
178, J. Joseph, DNF,      ,DNF,,,,DNF*
174, R. Healy, DNF,      ,DNF,,,,DNF*

K1W
139, A. Nee,     61.48,    +0,    61.48,,,,    61.48*
13, J. Jacobsen Kastorf,    105.47,    +0,   105.47,,,,   105.47
136, A. Ifarraguerri,    106.01,    +0,   106.01,,,,   106.01*
140, D. Mann,    107.30,    +2,   109.30,,,,   109.30*
135, E. Leibfarth,    114.45,    +4,   118.45,,,,   118.45*
125, C. Hickey,    121.04,    +2,   123.04,,,,   123.04*
133, M. Humeau,    122.15,    +2,   124.15,,,,   124.15*
129, L. Mojsiak,    127.74,    +4,   131.74,,,,   131.74*
118, M. Corcoran,    128.89,    +6,   134.89,,,,   134.89*
126, S. Jacobi,    133.51,    +2,   135.51,,,,   135.51*
134, A. Davis,    130.73,   +54,   184.73,,,,   184.73*
124, M. Corcoran,    131.14,  +106,   237.14,,,,   237.14*
168, B. Phillips,    144.85,  +104,   248.85,,,,   248.85*
128, E. Morgan Joseph,    122.54,  +156,   278.54,,,,   278.54*
115, L. Brandon,    124.13,  +204,   328.13,,,,   328.13*
132, A. Szymanski,    100.16,  +350,   450.16,,,,   450.16*
141, K. Ghost K1W, DNS,      ,DNS,,,,DNS

X1X
15, F. Ghost Forerunner, DNS,      ,DNS,,,,DNS
