Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1
215, M. McCurry,     94.69,   +10,   104.69,    92.42,    +0,    92.42,    92.42
157, R. Healy,     95.92,    +2,    97.92,    96.75,    +0,    96.75,    96.75
29, M. Kaderabek,    110.32,    +2,   112.32,   110.66,    +2,   112.66,   112.32
67, W. Bolyard,    114.70,    +8,   122.70,   112.83,    +4,   116.83,   116.83
173, J. Yochim,    134.57,    +4,   138.57,   126.77,    +2,   128.77,   128.77
180, M. Suchy,    184.24,   +14,   198.24,   183.11,  +106,   289.11,   198.24

C2
81, K. Bolyard,    114.23,    +4,   118.23,   110.89,    +2,   112.89,   112.89
194, H. Suchy, DNF,      ,DNF,   118.79,  +308,   426.79,   426.79

K1
Y159, M. Huvelin, DNS,      ,DNS,    70.47,    +0,    70.47,    70.47
6, M. McCurry,     82.27,    +2,    84.27,    79.51,    +2,    81.51,    81.51
78, R. Healy,     83.72,    +0,    83.72,    82.00,    +0,    82.00,    82.00
160, T. Mardany,     82.46,    +2,    84.46,    82.62,    +0,    82.62,    82.62
85, W. Bolyard,     83.40,    +4,    87.40,    84.50,    +4,    88.50,    87.40
65, M. Kaderabek,     88.32,    +6,    94.32,    91.13,    +0,    91.13,    91.13
141, J. Yochim,     94.70,    +0,    94.70,    91.07,    +2,    93.07,    93.07
15, N. Francis,    101.86,    +6,   107.86,   100.42,    +2,   102.42,   102.42
31, K. Hank,    101.84,    +2,   103.84,    98.71,    +6,   104.71,   103.84
25, D. Jung,    100.44,    +6,   106.44,   123.92,  +102,   225.92,   106.44
62, D. Wainer,    100.30,   +58,   158.30,   105.25,    +6,   111.25,   111.25
95, M. Suchy,    113.19,    +4,   117.19,   108.68,    +4,   112.68,   112.68
184, C. Henry,    115.48,    +4,   119.48,   111.86,    +4,   115.86,   115.86
68, J. Yochim,    109.17,   +12,   121.17,   148.43,   +60,   208.43,   121.17
110, A. Patel,    154.96,    +0,   154.96,   141.21,    +0,   141.21,   141.21
63, C. Christie Williams,    140.85,    +4,   144.85,   145.85,   +10,   155.85,   144.85
91, T. Loving,    162.23,  +160,   322.23,   177.51,    +2,   179.51,   179.51
69, M. Inman,    115.66,  +204,   319.66,   149.68,   +54,   203.68,   203.68
96, G. Taft,    138.14,  +108,   246.14,   129.05,  +106,   235.05,   235.05
111, m. smith, DNS,      ,DNS,DNS,      ,DNS,DNS
Y9, L. Leibfarth, DNS,      ,DNS,,,,DNS

K1 Rec
174, J. Nash,    130.24,   +10,   140.24,   106.48,    +8,   114.48,   114.48
37, R. Lancaster,    169.85,   +12,   181.85,   175.82,   +60,   235.82,   181.85
43, B. Cahoon,    143.68,   +50,   193.68,   170.11,  +108,   278.11,   193.68
12, C. Weems,    217.54,  +108,   325.54,   180.42,   +70,   250.42,   250.42
36, C. Weems,    146.87,  +106,   252.87,   154.96,  +212,   366.96,   252.87
99, S. Lancaster,    174.95,  +104,   278.95,   194.71,  +208,   402.71,   278.95
170, T. Upchurch,    149.01,  +202,   351.01,DNS,      ,DNS,   351.01
74, C. Weemes,    109.85,  +452,   561.85,   147.94,  +402,   549.94,   549.94
10, L. Shaw,     92.87,  +650,   742.87,DNS,      ,DNS,   742.87
88, T. Shaw,    100.89,  +658,   758.89,DNF,      ,DNF,   758.89
115, J. Mcconnell, DNS,      ,DNS,DNS,      ,DNS,DNS

K1W
108, E. Leibfarth,     84.01,    +0,    84.01,    81.56,    +0,    81.56,    81.56
185, l. mojsiak,     99.01,    +2,   101.01,    94.73,    +2,    96.73,    96.73
220, L. Brandon,     98.65,   +10,   108.65,    98.81,    +0,    98.81,    98.81
82, M. Kimmel,    125.10,    +4,   129.10,   131.67,    +0,   131.67,   129.10

K1W C1W
158, E. Leibfarth,     97.49,    +0,    97.49,    92.32,    +2,    94.32,    94.32
5, L. Brandon,    125.84,    +4,   129.84,   121.62,    +8,   129.62,   129.62
