Bib,Name,Run 1 raw, penalties, total,Run 2 raw, penalties, total,Best

C1M
92, T. Dennis,    104.99,    +0,   104.99,    94.84,    +8,   102.84,   102.84
93, T. Smith,    101.08,    +2,   103.08,   105.79,    +6,   111.79,   103.08
94, R. Powell,    111.35,    +2,   113.35,DNS,      ,DNS,   113.35
96, R. Healy,    132.72,    +2,   134.72,DNS,      ,DNS,   134.72
98, M. McCurry, DNS,      ,DNS,DNS,      ,DNS,DNS

C1W
91, S. Donnelly,    129.56,    +2,   131.56,   123.88,    +2,   125.88,   125.88

FR
10, F. Runner1, DNS,      ,DNS,DNS,      ,DNS,DNS
11, F. Runner2, DNS,      ,DNS,DNS,      ,DNS,DNS
12, F. Runner3, DNS,      ,DNS,DNS,      ,DNS,DNS

K1M
94, R. Powell,     92.31,    +0,    92.31,    90.82,    +0,    90.82,    90.82
79, T. Westfall,     98.43,    +2,   100.43,   102.64,    +2,   104.64,   100.43
92, T. Dennis,    101.49,    +4,   105.49,    99.62,    +2,   101.62,   101.62
89, J. Sherman,    100.30,    +4,   104.30,   116.48,    +4,   120.48,   104.30
93, T. Smith,    105.10,    +6,   111.10,   102.17,    +8,   110.17,   110.17
81, T. Mardany,    115.75,  +102,   217.75,   110.24,    +4,   114.24,   114.24
86, J. Joseph,    115.36,    +2,   117.36,   131.84,    +2,   133.84,   117.36
98, M. McCurry,    119.69,    +8,   127.69,   115.24,    +4,   119.24,   119.24
88, W. Bolyard,    118.93,    +8,   126.93,   121.17,    +2,   123.17,   123.17
107, M. Haworth,    158.92,   +58,   216.92,   119.77,    +6,   125.77,   125.77
108, N. Bodin,    138.75,    +4,   142.75,   133.13,   +14,   147.13,   142.75
80, M. Loving,    166.26,   +58,   224.26,   136.28,   +14,   150.28,   150.28
85, R. Sribar,    164.66,   +54,   218.66,   163.44,   +14,   177.44,   177.44
110, J. Yochim,    163.64,   +18,   181.64,   142.13,   +60,   202.13,   181.64
106, R. Healy,    137.10,   +56,   193.10,   134.03,   +54,   188.03,   188.03
109, C. Payne,    150.64,   +56,   206.64,DNF,      ,DNF,   206.64
82, K. Hank,    159.50,   +62,   221.50,   167.84,   +62,   229.84,   221.50
87, H. Bergmann, DNS,      ,DNS,DNS,      ,DNS,DNS

K1W
91, S. Donnelly,    126.87,    +6,   132.87,   116.70,    +0,   116.70,   116.70
105, M. Humeau,    122.69,    +2,   124.69,   122.25,    +6,   128.25,   124.69
101, E. Leibfarth,    153.06,  +106,   259.06,   142.60,    +4,   146.60,   146.60
104, R. Sribar,    177.02,  +110,   287.02,   132.80,   +14,   146.80,   146.80
103, A. Stout,    138.57,   +60,   198.57,   166.60,    +6,   172.60,   172.60
102, A. Wagner,    143.63,   +60,   203.63,   157.82,   +62,   219.82,   203.63
99, L. Brandon, DNF,      ,DNF,DNF,      ,DNF,DNF
